frame,second,id,label,bbox,distance_m,speed_kmh
1,0.04,0,car,"825,403,971,503",9.42,80.0
1,0.04,1,car,"953,403,1081,484",10.74,80.0
2,0.08,0,car,"824,403,971,504",9.35,80.21
2,0.08,1,car,"954,402,1081,484",10.83,80.1
3,0.12,0,car,"822,404,975,504",8.99,81.3
3,0.12,1,car,"953,401,1084,484",10.5,81.31
4,0.16,0,car,"819,404,973,505",8.93,82.16
4,0.16,1,car,"945,401,1090,485",9.48,82.0
5,0.2,0,car,"774,408,795,423",65.48,96.16
5,0.2,0,car,"767,409,795,423",49.11,110.6
5,0.2,1,car,"944,401,1089,485",9.48,81.86
6,0.24,0,car,"772,409,796,423",57.29,111.67
6,0.24,1,car,"954,402,1091,485",10.04,82.45
6,0.24,2,car,"824,405,976,503",9.05,81.61
7,0.28,0,car,"774,407,797,425",59.78,113.68
7,0.28,1,car,"961,400,1094,484",10.34,83.24
7,0.28,2,car,"821,405,975,504",8.93,81.54
8,0.32,0,car,"777,408,797,426",68.75,115.48
8,0.32,1,car,"959,400,1096,484",10.04,82.93
8,0.32,2,car,"815,405,975,504",8.59,81.15
9,0.36,0,car,"777,409,798,426",65.48,101.98
9,0.36,1,car,"960,400,1097,484",10.04,82.32
9,0.36,2,car,"823,403,971,502",9.29,81.15
10,0.4,1,car,"958,402,1099,486",9.75,82.31
10,0.4,2,car,"825,404,970,501",9.48,81.24
11,0.44,1,car,"958,403,1097,486",9.89,82.03
11,0.44,2,car,"821,405,969,502",9.29,81.2
12,0.48,1,car,"956,402,1099,485",9.62,81.33
12,0.48,2,car,"819,403,968,501",9.23,81.06
13,0.52,1,car,"957,401,1099,486",9.68,81.0
13,0.52,2,car,"771,408,792,421",65.48,97.8
13,0.52,2,car,"764,408,792,421",49.11,114.4
14,0.56,1,car,"960,401,1101,486",9.75,80.96
14,0.56,3,car,"823,403,965,500",9.68,80.98
15,0.6,1,car,"962,401,1098,485",10.11,80.78
15,0.6,3,car,"823,403,967,499",9.55,80.87
16,0.64,1,car,"962,404,1100,486",9.96,82.2
16,0.64,3,car,"821,403,965,499",9.55,83.14
17,0.68,1,car,"962,404,1104,487",9.68,82.32
17,0.68,3,car,"821,403,968,498",9.35,82.58
18,0.72,1,car,"959,404,1103,488",9.55,82.46
18,0.72,3,car,"814,406,971,501",8.76,82.18
19,0.76,1,car,"960,405,1106,489",9.42,82.75
19,0.76,3,car,"817,405,966,499",9.23,82.42
20,0.8,1,car,"960,406,1106,491",9.42,82.86
20,0.8,3,car,"811,407,969,503",8.7,82.49
21,0.84,1,car,"958,405,1107,490",9.23,81.23
21,0.84,3,car,"813,407,968,503",8.87,81.03
22,0.88,1,car,"958,403,1111,490",8.99,81.13
22,0.88,3,car,"818,404,966,500",9.29,81.02
23,0.92,1,car,"959,405,1115,490",8.81,81.01
23,0.92,3,car,"819,406,964,501",9.48,81.07
24,0.96,1,car,"959,405,1117,490",8.7,81.0
24,0.96,3,car,"814,406,962,501",9.29,81.04
25,1.0,1,car,"958,403,1118,490",8.59,80.99
25,1.0,3,car,"815,404,959,501",9.55,81.02
26,1.04,1,car,"957,403,1118,491",8.54,81.07
26,1.04,3,car,"814,404,961,500",9.35,81.14
27,1.08,1,car,"959,402,1116,491",8.76,80.98
27,1.08,3,car,"815,404,960,500",9.48,81.1
28,1.12,1,car,"962,403,1117,492",8.87,82.63
28,1.12,3,car,"818,404,958,500",9.82,82.85
29,1.16,1,car,"959,403,1117,491",8.7,82.35
29,1.16,3,car,"817,405,955,499",9.96,82.69
30,1.2,1,car,"961,402,1124,492",8.44,82.28
30,1.2,3,car,"818,405,958,500",9.82,82.57
31,1.24,1,car,"963,404,1127,491",8.38,82.38
31,1.24,3,car,"814,406,956,500",9.68,82.48
32,1.28,1,car,"966,405,1125,491",8.65,82.51
32,1.28,3,car,"812,406,956,500",9.55,82.58
