frame,second,id,label,bbox,distance_m,speed_kmh
1,0.03,0,car,"882,424,973,487",15.11,80.0
1,0.03,1,car,"375,436,437,471",22.18,80.0
1,0.03,2,car,"441,437,500,464",23.31,80.0
1,0.03,3,car,"759,434,781,448",62.5,80.0
1,0.03,4,car,"657,433,683,447",52.88,80.0
1,0.03,5,car,"440,438,497,465",24.12,80.0
2,0.07,0,car,"881,424,972,487",15.11,82.26
2,0.07,1,car,"362,437,424,473",22.18,86.42
2,0.07,3,car,"755,434,779,450",57.29,91.12
2,0.07,4,car,"647,433,675,448",49.11,93.71
2,0.07,5,car,"411,439,471,470",22.92,90.25
3,0.1,0,car,"878,423,971,486",14.78,84.06
3,0.1,1,car,"324,442,394,477",19.64,94.22
3,0.1,3,car,"755,435,779,450",57.29,97.05
3,0.1,4,car,"642,435,671,449",47.41,99.63
3,0.1,5,car,"383,442,447,471",21.48,99.36
3,0.1,5,car,"377,442,447,471",19.64,103.92
4,0.14,0,car,"877,425,971,486",14.63,84.8
4,0.14,1,car,"319,428,402,478",16.57,94.56
4,0.14,3,car,"750,433,775,451",55.0,100.63
4,0.14,6,car,"437,437,482,464",30.56,93.4
4,0.14,7,car,"435,438,480,465",30.56,93.4
4,0.14,8,car,"381,440,442,472",22.54,89.88
5,0.17,0,car,"875,423,969,486",14.63,85.24
5,0.17,3,car,"750,432,776,450",52.88,101.56
5,0.17,7,car,"429,435,482,465",25.94,94.08
5,0.17,8,car,"354,439,432,474",17.63,95.85
6,0.21,0,car,"876,423,969,484",14.78,86.18
6,0.21,3,car,"753,432,776,448",59.78,104.78
6,0.21,8,car,"243,429,407,480",8.38,100.78
6,0.21,9,car,"547,434,583,455",38.19,91.9
6,0.21,10,car,"335,438,418,475",16.57,85.16
6,0.21,11,car,"615,433,643,450",49.11,95.3
7,0.24,0,car,"872,422,965,483",14.78,86.89
7,0.24,10,car,"297,434,397,482",13.75,93.7
7,0.24,12,car,"400,435,465,469",21.15,90.03
8,0.28,0,car,"872,422,964,481",14.95,86.86
8,0.28,10,car,"222,430,382,484",8.59,97.34
8,0.28,12,car,"394,432,457,469",21.83,91.37
8,0.28,13,car,"747,431,770,447",59.78,108.13
8,0.28,14,car,"536,432,578,456",32.74,95.4
8,0.28,15,car,"610,433,639,451",47.41,102.31
