frame,second,id,label,x1,y1,x2,y2,vx1,vy1,vx2,vy2,distance_m,speed_kmh
1,0.04,0,car,0,289,42,364,0.0,0.0,0.0,0.0,32.74,-0.0
2,0.08,0,car,0,289,42,363,0.0,0.0,0.02752293460071087,-0.05504586920142174,32.74,13.15
3,0.12,0,car,0,289,44,363,0.0,0.0,0.587575376033783,-0.006809267681092024,31.25,15.55
3,0.12,1,car,350,303,388,327,0.0,0.0,0.0,0.0,36.18,25.22
4,0.16,0,car,0,289,48,363,0.0,0.0,1.14271879196167,0.01959718018770218,28.65,14.86
5,0.2,0,car,0,289,54,364,0.0,0.0,1.7420315742492676,0.02376738004386425,25.46,13.79
6,0.24,0,car,0,287,56,364,0.0,-0.28878191113471985,1.6021511554718018,0.018426747992634773,24.55,15.17
7,0.28,0,car,0,285,58,364,0.0,-0.602086067199707,1.2296342849731445,0.011095318011939526,23.71,10.91
8,0.32,0,car,0,284,60,364,0.0,-0.539869487285614,1.1730352640151978,0.005165242590010166,22.92,8.56
9,0.36,0,car,0,283,64,364,0.0,-0.5056654810905457,1.542260766029358,0.0015042099403217435,21.48,7.12
10,0.4,0,car,0,284,68,364,0.0,-0.19791333377361298,1.6627980470657349,0.1466304063796997,20.22,6.7
11,0.44,0,car,0,286,70,365,0.0,0.26465994119644165,1.3645669221878052,0.3026264011859894,19.64,6.8
11,0.44,2,car,406,303,442,327,0.0,0.0,0.0,0.0,38.19,16.81
12,0.48,0,car,0,287,70,366,0.0,0.31664928793907166,0.7772269248962402,0.22184157371520996,19.64,6.42
12,0.48,2,car,406,303,441,327,0.0,0.0,-0.07258064299821854,0.0,39.29,12.52
13,0.52,0,car,0,286,71,363,0.0,0.03737066313624382,0.4265211224555969,-0.3489988148212433,19.37,4.95
13,0.52,2,car,406,302,441,325,0.0,-0.1576128602027893,-0.16537444293498993,-0.3152257204055786,39.29,9.71
14,0.56,0,car,0,282,74,360,0.0,-0.6508335471153259,0.7459630370140076,-0.6368898153305054,18.58,4.08
15,0.6,0,car,0,280,78,359,0.0,-0.7741990685462952,1.3258254528045654,-0.6673519611358643,17.63,2.89
16,0.64,0,car,0,279,81,355,0.0,-0.7370933890342712,1.2874921560287476,-1.0697559118270874,16.98,1.44
17,0.68,0,car,0,278,85,355,0.0,-0.6534961462020874,1.4846827983856201,-0.7499814033508301,16.18,1.4
18,0.72,0,car,0,278,87,356,0.0,-0.28309914469718933,1.4119619131088257,-0.26681509613990784,15.8,2.16
