frame,second,id,label,bbox,distance_m,speed_kmh
47,1.88,0,person,"700,427,723,485",59.78,184.46
72,2.88,1,person,"42,354,206,514",8.38,103.42
73,2.92,1,person,"50,355,245,512",7.05,102.22
74,2.96,1,person,"94,359,267,507",7.95,98.33
75,3.0,1,person,"139,361,241,514",13.48,96.93
91,3.64,2,person,"338,387,430,564",14.95,116.67
91,3.64,3,motorcycle,"346,486,413,571",20.52,130.35
91,3.64,4,person,"361,395,421,529",22.92,136.23
92,3.68,4,person,"356,379,416,501",22.92,137.86
92,3.68,4,person,"355,376,416,501",22.54,138.4
93,3.72,4,person,"360,374,427,492",20.52,137.1
93,3.72,5,motorcycle,"359,438,443,545",16.37,122.83
94,3.76,4,person,"371,384,447,540",18.09,133.31
94,3.76,5,motorcycle,"366,459,429,545",21.83,130.22
95,3.8,4,person,"385,372,430,473",30.56,135.56
95,3.8,4,person,"386,371,430,473",31.25,137.16
95,3.8,5,motorcycle,"377,448,452,530",18.33,127.38
96,3.84,4,person,"389,374,443,498",25.46,137.97
97,3.88,4,person,"394,378,457,524",21.83,139.15
98,3.92,4,person,"414,375,459,477",30.56,144.88
98,3.92,4,person,"417,374,459,477",32.74,144.75
99,3.96,4,person,"417,374,469,480",26.44,144.91
99,3.96,6,motorcycle,"413,458,474,537",22.54,145.16
100,4.0,4,person,"427,375,479,481",26.44,146.16
101,4.04,4,person,"438,375,479,467",33.54,152.88
101,4.04,4,person,"439,375,479,467",34.38,158.06
101,4.04,4,person,"440,375,479,467",35.26,163.25
101,4.04,7,motorcycle,"427,431,499,528",19.1,140.52
102,4.08,4,person,"441,382,486,470",30.56,169.49
102,4.08,4,person,"440,382,486,470",29.89,175.45
102,4.08,7,motorcycle,"432,440,505,523",18.84,140.72
103,4.12,4,person,"458,372,498,455",34.38,178.79
103,4.12,4,person,"459,372,498,455",35.26,182.13
103,4.12,7,motorcycle,"449,430,512,523",21.83,141.35
104,4.16,4,person,"471,373,501,440",45.83,186.46
104,4.16,7,motorcycle,"455,429,519,521",21.48,140.37
105,4.2,4,person,"476,372,513,441",37.16,186.91
105,4.2,7,motorcycle,"460,434,524,522",21.48,140.69
106,4.24,4,person,"489,377,523,445",40.44,183.87
106,4.24,7,motorcycle,"476,429,535,517",23.31,138.53
107,4.28,4,person,"493,380,529,464",38.19,180.85
107,4.28,4,person,"494,381,529,464",39.29,177.83
107,4.28,7,motorcycle,"482,434,537,519",25.0,137.84
108,4.32,4,person,"505,379,539,444",40.44,176.02
108,4.32,7,motorcycle,"492,434,551,519",23.31,136.59
109,4.36,4,person,"522,383,546,439",57.29,177.8
109,4.36,7,motorcycle,"500,426,564,517",21.48,135.23
110,4.4,4,person,"529,381,559,442",45.83,180.29
111,4.44,4,person,"543,383,565,440",62.5,181.5
111,4.44,8,motorcycle,"514,429,582,513",20.22,134.04
112,4.48,8,motorcycle,"519,428,588,510",19.93,138.67
113,4.52,8,motorcycle,"542,440,593,510",26.96,137.21
113,4.52,9,person,"555,383,588,439",41.67,190.57
