frame,second,id,label,x1,y1,x2,y2,vx1,vy1,vx2,vy2,distance_m,speed_kmh
1,0.03,0,car,609,416,683,431,0.0,0.0,0.0,0.0,18.58,-0.0
1,0.03,1,truck,1324,340,1664,523,0.0,0.0,0.0,0.0,4.04,-0.0
2,0.07,1,truck,1324,340,1664,523,0.05504586920142174,0.0,0.08256880193948746,0.0,4.04,0.06
3,0.1,1,truck,1324,339,1668,523,-0.006323282141238451,-0.15924488008022308,0.7867880463600159,0.15924488008022308,4.0,0.11
3,0.1,2,person,61,407,328,560,0.0,0.0,0.0,0.0,5.15,0.42
3,0.1,3,car,519,415,596,431,0.0,0.0,0.0,0.0,17.86,1.46
4,0.13,1,truck,1326,339,1669,524,0.4277803897857666,0.009407151490449905,0.6700215339660645,0.14127372205257416,4.01,0.18
4,0.13,2,person,60,407,329,559,-0.02752293460071087,0.02752293460071087,0.38532108068466187,-0.05504586920142174,5.11,0.28
5,0.17,1,truck,1324,339,1669,523,-0.1483292132616043,0.048014864325523376,0.312633216381073,-0.04334688559174538,3.99,0.23
6,0.2,1,truck,1323,340,1669,523,-0.1452174186706543,0.0406033955514431,0.18721124529838562,0.05945403501391411,3.97,0.33
6,0.2,4,car,507,415,587,433,0.0,0.0,0.0,0.0,17.19,1.97
7,0.23,1,truck,1320,339,1672,524,-0.6811791062355042,-0.13027414679527283,0.6721946001052856,0.05949080362915993,3.91,0.4
7,0.23,4,car,507,415,587,433,0.16513760387897491,0.02752293460071087,0.02752293460071087,0.0,17.19,2.04
8,0.27,1,truck,1320,338,1675,523,-0.4724237024784088,-0.13413965702056885,0.8826078772544861,-0.10047879815101624,3.87,0.74
9,0.3,1,truck,1327,338,1675,522,1.0599298477172852,-0.24284079670906067,0.5512088537216187,-0.12741795182228088,3.95,0.73
10,0.33,1,truck,1325,337,1675,521,0.06995854526758194,-0.13529102504253387,0.24424000084400177,-0.21214455366134644,3.93,0.73
10,0.33,5,car,486,414,563,430,0.0,0.0,0.0,0.0,17.86,2.2
10,0.33,6,person,100,406,378,546,0.0,0.0,0.0,0.0,4.95,0.61
11,0.37,1,truck,1330,336,1680,521,0.8886294364929199,-0.20306506752967834,0.9643370509147644,-0.13392087817192078,3.93,0.71
11,0.37,6,person,100,405,378,545,0.16513760387897491,-0.08256880193948746,0.11009173840284348,-0.05504586920142174,4.95,0.46
12,0.4,1,truck,1329,337,1681,521,0.4033643901348114,-0.018360760062932968,0.7196183800697327,-0.07670404762029648,3.91,0.63
13,0.43,1,truck,1329,337,1681,521,0.2597683072090149,0.05256433039903641,0.42061886191368103,-0.033785413950681686,3.91,0.46
14,0.47,1,truck,1334,338,1681,521,1.0141645669937134,0.05478508770465851,0.2677929103374481,-0.15679651498794556,3.96,0.5
14,0.47,7,car,1052,417,1142,447,0.0,0.0,0.0,0.0,15.28,1.79
15,0.5,1,truck,1333,338,1679,520,0.4746362268924713,0.03959278389811516,-0.13311222195625305,-0.14149907231330872,3.97,0.51
16,0.53,1,truck,1329,338,1678,520,-0.58221036195755,0.02273589000105858,-0.3800971210002899,-0.09484517574310303,3.94,0.85
17,0.57,1,truck,1325,338,1677,521,-0.9408036470413208,0.009921913966536522,-0.35743075609207153,0.09751299023628235,3.91,0.94
18,0.6,1,truck,1328,338,1677,521,0.10617450624704361,-0.0008457640651613474,-0.1318010687828064,-0.04255956783890724,3.94,1.4
18,0.6,8,car,1099,417,1171,444,0.0,0.0,0.0,0.0,19.1,16.45
18,0.6,9,car,1056,417,1144,446,0.0,0.0,0.0,0.0,15.62,13.46
19,0.63,1,truck,1326,339,1675,520,-0.34945809841156006,0.13963115215301514,-0.2816592752933502,-0.03739294037222862,3.94,1.52
19,0.63,8,car,1099,417,1171,444,0.05504586920142174,0.02752293460071087,0.08256880193948746,0.0,19.1,10.3
19,0.63,10,car,457,403,564,431,0.0,0.0,0.0,0.0,12.85,2.94
19,0.63,11,car,544,413,619,430,0.0,0.0,0.0,0.0,18.33,4.19
20,0.67,1,truck,1327,337,1677,520,0.12017970532178879,-0.22431083023548126,0.18185725808143616,-0.010107371024787426,3.93,2.09
20,0.67,8,car,1100,417,1172,444,0.1447857767343521,0.15257933735847473,0.2974238395690918,0.0,19.1,12.14
20,0.67,12,person,147,404,399,536,0.0,0.0,0.0,0.0,5.46,4.75
20,0.67,13,car,1048,417,1134,446,0.0,0.0,0.0,0.0,15.99,13.91
21,0.7,1,truck,1330,336,1678,520,0.38376542925834656,-0.11437765508890152,0.11577387899160385,0.0008485574508085847,3.95,1.71
21,0.7,8,car,1101,418,1173,445,0.20410265028476715,0.07316694408655167,0.1361253708600998,0.14121589064598083,19.1,9.35
21,0.7,13,car,1048,417,1134,446,0.07258064299821854,0.0,0.07258064299821854,0.0,15.99,7.16
21,0.7,14,car,522,414,591,430,0.0,0.0,0.0,0.0,19.93,0.25
22,0.73,1,truck,1330,336,1678,521,0.10628809034824371,-0.007449598517268896,0.01338901650160551,0.0015665554674342275,3.95,1.77
22,0.73,8,car,1101,418,1173,445,0.06792278587818146,0.010168414562940598,0.01704362779855728,0.061097633093595505,19.1,8.28
22,0.73,13,car,1051,417,1136,446,0.42421451210975647,0.0,0.27588367462158203,0.0,16.18,5.73
22,0.73,14,car,520,413,592,431,-0.4390243887901306,-0.1463414579629898,0.4390243887901306,0.2926829159259796,19.1,2.23
22,0.73,15,person,170,399,402,534,0.0,0.0,0.0,0.0,5.93,1.24
23,0.77,1,truck,1327,337,1679,522,-0.25985482335090637,0.009333351626992226,0.11094630509614944,0.11977023631334305,3.91,1.64
23,0.77,8,car,1102,418,1174,446,0.13015110790729523,-0.0063792988657951355,0.12274426221847534,0.13621658086776733,19.1,7.48
23,0.77,13,car,1052,417,1140,446,0.18031509220600128,0.0,0.5128406882286072,0.0,15.62,6.67
23,0.77,14,car,493,413,572,430,-3.1096322536468506,0.05839705839753151,-2.3651106357574463,-0.11682010442018509,17.41,8.52
23,0.77,15,person,170,399,399,534,0.0,0.14516128599643707,-0.7983870506286621,0.0,6.0,2.89
23,0.77,16,car,621,414,692,428,0.0,0.0,0.0,0.0,19.37,13.09
23,0.77,17,car,687,414,764,428,0.0,0.0,0.0,0.0,17.86,12.07
24,0.8,1,truck,1327,337,1679,522,-0.03214957192540169,0.0013751992955803871,0.010116110555827618,0.01174942683428526,3.91,1.41
24,0.8,8,car,1102,417,1174,446,0.011224892921745777,-0.0017709445673972368,0.01475832425057888,0.012608978897333145,19.1,6.66
24,0.8,13,car,1051,417,1139,446,-0.12929914891719818,0.0,-0.08622685074806213,0.0,15.62,5.4
24,0.8,14,car,493,414,571,429,-0.29536083340644836,0.015655798837542534,-0.2752405107021332,-0.03133758530020714,17.63,6.64
24,0.8,15,person,170,401,390,534,0.0,0.20395579934120178,-1.1217966079711914,0.0,6.25,2.16
24,0.8,16,car,621,414,692,428,0.0,0.0,0.0,0.0,19.37,6.55
24,0.8,17,car,687,414,764,428,0.0,0.0,0.0,0.0,17.86,6.04
25,0.83,1,truck,1327,337,1679,522,0.01252590212970972,-0.00042753390152938664,-0.005730318371206522,-0.006123700179159641,3.91,0.75
25,0.83,8,car,1102,417,1174,446,-0.006887517403811216,0.00021583847410511225,-0.006101061590015888,-0.007119299378246069,19.1,3.51
25,0.83,13,car,1050,417,1138,446,-0.023676780983805656,0.0,-0.03965725749731064,0.0,15.62,2.64
25,0.83,14,car,494,414,572,429,0.16311053931713104,-0.002058360492810607,0.1190684512257576,0.0041237822733819485,17.63,5.41
25,0.83,15,person,171,401,390,534,0.11968427896499634,0.013132277876138687,-0.07219966500997543,0.0,6.28,1.63
25,0.83,16,car,621,414,692,428,0.0,0.0,0.0,0.0,19.37,4.37
25,0.83,17,car,687,414,764,428,0.0,0.0,0.0,0.0,17.86,4.03
26,0.87,1,truck,1326,338,1676,520,-0.12423186749219894,0.12816862761974335,-0.25825440883636475,-0.130122110247612,3.93,0.99
26,0.87,8,car,1098,416,1173,445,-0.36233794689178467,-0.12017807364463806,-0.0014895903877913952,-0.0014687785878777504,18.33,4.65
26,0.87,13,car,1048,417,1137,446,-0.23512910306453705,0.0,-0.11897757649421692,0.0,15.45,3.69
26,0.87,15,person,183,403,389,527,1.456220030784607,0.2291904091835022,-0.056957144290208817,-0.7221208214759827,6.67,1.57
26,0.87,18,car,343,430,518,512,0.0,0.0,0.0,0.0,7.86,2.59
26,0.87,19,car,981,414,1075,447,0.0,0.0,0.0,0.0,14.63,4.83
27,0.9,1,truck,1324,338,1677,520,-0.3333031237125397,0.047590360045433044,0.047763995826244354,-0.04774933308362961,3.9,0.85
27,0.9,15,person,184,403,388,527,0.35596776008605957,0.056417349725961685,-0.14571231603622437,-0.1805981695652008,6.74,1.36
27,0.9,18,car,343,430,517,512,0.14516128599643707,0.07258064299821854,-0.14516128599643707,0.0,7.9,1.38
27,0.9,19,car,980,414,1074,447,-0.11688310652971268,0.0,-0.11688310652971268,0.0,14.63,2.53
28,0.93,19,car,982,414,1075,446,0.32588282227516174,0.0,0.17508386075496674,-0.1508542001247406,14.78,2.58
28,0.93,20,car,1097,417,1173,446,0.0,0.0,0.0,0.0,18.09,2.92
28,0.93,21,car,614,414,681,428,0.0,0.0,0.0,0.0,20.52,3.31
28,0.93,22,car,1053,417,1140,446,0.0,0.0,0.0,0.0,15.8,2.55
29,0.97,21,car,613,414,680,428,-0.24770641326904297,0.0,-0.16513760387897491,0.0,20.52,3.7
29,0.97,21,car,628,414,702,428,3.831282377243042,0.0,5.486631393432617,0.11575387418270111,18.58,7.56
29,0.97,22,car,1052,417,1139,446,-0.11688310652971268,0.0,-0.11688310652971268,0.0,15.8,2.75
29,0.97,23,truck,1313,339,1677,521,0.0,0.0,0.0,0.0,3.78,0.65
30,1.0,21,car,650,414,733,429,3.2123663425445557,0.0,4.513908863067627,0.09540478885173798,16.57,8.82
30,1.0,22,car,1089,417,1167,446,6.958823204040527,0.0,5.217658042907715,0.0,17.63,8.86
30,1.0,23,truck,1313,339,1677,521,0.1590106040239334,0.0,0.0,0.0,3.78,0.36
30,1.0,24,person,194,407,373,526,0.0,0.0,0.0,0.0,7.68,0.0
30,1.0,25,car,1051,417,1139,446,0.0,0.0,0.0,0.0,15.62,0.01
31,1.03,21,car,705,414,766,426,5.02545166015625,0.0,2.9895787239074707,-0.20922090113162994,22.54,11.62
31,1.03,22,car,1104,417,1175,446,3.3483312129974365,0.0,2.1466903686523438,0.0,19.37,10.39
31,1.03,25,car,1049,417,1136,446,-0.3180212080478668,0.0,-0.4770318269729614,0.0,15.8,1.65
31,1.03,26,car,765,431,876,464,0.0,0.0,0.0,0.0,12.39,3.3
31,1.03,27,car,625,415,693,428,0.0,0.0,0.0,0.0,20.22,5.39
32,1.07,22,car,1101,417,1172,446,0.38871148228645325,0.0,0.08205951005220413,0.0,19.37,8.49
32,1.07,25,car,1048,417,1135,444,-0.19164104759693146,0.0,-0.2874266505241394,-0.14307714998722076,15.8,1.35
32,1.07,26,car,765,431,876,464,0.0,0.0,0.0,0.0,12.39,1.66
