frame,second,id,label,x1,y1,x2,y2,vx1,vy1,vx2,vy2,distance_m,speed_kmh,video
2,0.08,0,car,824,403,971,503,-1.0,0.0,0.0,0.0,9.35,0.6943000000000003,challenge_data
3,0.12,0,car,823,403,973,503,-1.0,0.0,2.0,0.0,9.17,1.08,challenge_data
4,0.16,0,car,820,404,973,505,-3.0,1.0,0.0,2.0,8.99,2.11,challenge_data
5,0.2,0,car,819,405,977,505,-1.0,1.0,4.0,0.0,8.7,1.99,challenge_data
6,0.24,0,car,822,405,977,503,3.0,0.0,0.0,-2.0,8.87,2.39,challenge_data
7,0.28,0,car,818,406,975,503,-4.0,1.0,-2.0,0.0,8.76,2.63,challenge_data
8,0.32,0,car,817,405,974,503,-1.0,-1.0,-1.0,0.0,8.76,2.25,challenge_data
9,0.36,0,car,821,404,971,502,4.0,-1.0,-3.0,-1.0,9.17,1.33,challenge_data
10,0.4,0,car,824,404,969,500,3.0,0.0,-2.0,-2.0,9.48,1.38,challenge_data
11,0.44,0,car,822,404,968,501,-2.0,0.0,-1.0,1.0,9.42,1.3,challenge_data
12,0.48,0,car,820,404,967,500,-2.0,0.0,-1.0,-1.0,9.35,1.13,challenge_data
13,0.52,0,car,820,403,967,501,0.0,-1.0,0.0,1.0,9.35,1.02,challenge_data
14,0.56,0,car,822,402,965,500,2.0,-1.0,-2.0,-1.0,9.62,1.07,challenge_data
15,0.6,0,car,824,402,966,498,2.0,0.0,1.0,-2.0,9.68,0.83,challenge_data
16,0.64,0,car,822,402,965,498,-2.0,0.0,-1.0,0.0,9.62,2.05,challenge_data
17,0.68,0,car,822,402,967,497,0.0,0.0,2.0,-1.0,9.48,2.07,challenge_data
18,0.72,0,car,816,405,970,500,-6.0,3.0,3.0,3.0,8.93,2.16,challenge_data
19,0.76,0,car,817,405,967,499,1.0,0.0,-3.0,-1.0,9.17,2.36,challenge_data
20,0.8,0,car,813,407,968,502,-4.0,2.0,1.0,3.0,8.87,2.36,challenge_data
21,0.84,0,car,813,407,968,503,0.0,0.0,0.0,1.0,8.87,0.95,challenge_data
22,0.88,0,car,817,405,966,500,4.0,-2.0,-2.0,-3.0,9.23,0.91,challenge_data
23,0.92,0,car,818,406,963,500,1.0,1.0,-3.0,0.0,9.48,0.92,challenge_data
24,0.96,0,car,815,406,961,500,-3.0,0.0,-2.0,0.0,9.42,0.93,challenge_data
25,1.0,0,car,815,405,958,500,0.0,-1.0,-3.0,0.0,9.62,1.13,challenge_data
26,1.04,0,car,814,404,959,500,-1.0,-1.0,1.0,0.0,9.48,1.23,challenge_data
27,1.08,0,car,815,404,959,499,1.0,0.0,0.0,-1.0,9.55,1.25,challenge_data
28,1.12,0,car,817,404,958,499,2.0,0.0,-1.0,0.0,9.75,2.86,challenge_data
29,1.16,0,car,817,404,954,499,0.0,0.0,-4.0,0.0,10.04,2.67,challenge_data
30,1.2,0,car,818,405,956,499,1.0,1.0,2.0,0.0,9.96,2.42,challenge_data
31,1.24,0,car,815,405,956,500,-3.0,0.0,0.0,1.0,9.75,2.35,challenge_data
32,1.28,0,car,813,406,955,500,-2.0,1.0,-1.0,0.0,9.68,2.4,challenge_data
33,1.32,0,car,814,407,953,499,1.0,1.0,-2.0,-1.0,9.89,1.09,challenge_data
34,1.36,0,car,815,407,952,498,1.0,0.0,-1.0,-1.0,10.04,1.09,challenge_data
35,1.4,0,car,816,407,949,499,1.0,0.0,-3.0,1.0,10.34,1.43,challenge_data
36,1.44,0,car,815,407,949,499,-1.0,0.0,0.0,0.0,10.26,1.66,challenge_data
37,1.48,0,car,813,408,949,498,-2.0,1.0,0.0,-1.0,10.11,1.99,challenge_data
38,1.52,0,car,811,408,950,499,-2.0,0.0,1.0,1.0,9.89,1.95,challenge_data
39,1.56,0,car,809,408,949,498,-2.0,0.0,-1.0,-1.0,9.82,2.59,challenge_data
40,1.6,0,car,810,408,951,498,1.0,0.0,2.0,0.0,9.75,2.57,challenge_data
