frame,second,id,label,x1,y1,x2,y2,vx1,vy1,vx2,vy2,distance_m,speed_kmh
56,1.87,0,truck,346,217,375,251,0.0,0.0,0.0,0.0,47.41,4.94
57,1.9,0,truck,345,217,374,250,-0.05504586920142174,0.0,-0.02752293460071087,-0.02752293460071087,47.41,4.7
69,2.3,1,truck,331,216,371,253,0.0,0.0,0.0,0.0,34.38,6.8
78,2.6,2,truck,337,216,367,253,0.0,0.0,0.0,0.0,45.83,3.13
79,2.63,2,truck,336,216,367,252,-0.22018347680568695,0.0,0.08256880193948746,-0.02752293460071087,44.35,2.1
79,2.63,2,truck,335,216,367,252,-0.2085014134645462,0.0,0.1505311131477356,-0.12734687328338623,42.97,1.71
80,2.67,2,truck,332,216,367,251,-0.7332911491394043,0.0,-0.01844887062907219,-0.1567818522453308,39.29,2.15
81,2.7,2,truck,329,216,367,251,-0.9590409398078918,0.0,0.08172917366027832,-0.12031716853380203,36.18,2.06
83,2.77,3,truck,325,215,367,252,0.0,0.0,0.0,0.0,32.74,2.26
84,2.8,3,truck,325,215,367,252,0.02752293460071087,0.02752293460071087,0.0,0.0,32.74,1.74
85,2.83,3,truck,326,215,367,252,0.3588528633117676,0.12734687328338623,0.0,0.0,33.54,1.89
86,2.87,3,truck,328,216,366,252,0.6836647987365723,0.17426370084285736,-0.1499434858560562,0.0,36.18,2.5
87,2.9,3,truck,329,216,365,252,0.47456660866737366,0.14308999478816986,-0.3171699643135071,0.0,38.19,2.4
88,2.93,3,truck,328,216,364,252,0.26119816303253174,0.09040825068950653,-0.28679755330085754,0.0,38.19,4.06
89,2.97,3,truck,329,216,364,252,0.25226113200187683,0.18981656432151794,-0.1925586462020874,0.0,39.29,4.09
90,3.0,3,truck,327,216,365,252,-0.11689773947000504,0.02469528838992119,0.044327545911073685,0.0,36.18,4.34
91,3.03,3,truck,326,216,365,252,-0.3634135127067566,-0.04253974184393883,-0.029316043481230736,0.0,35.26,4.39
92,3.07,3,truck,327,215,365,252,-0.0518980473279953,-0.054307177662849426,0.09959015250205994,0.0,36.18,4.48
93,3.1,3,truck,326,215,366,252,-0.07143279910087585,-0.04258767142891884,0.11672227829694748,0.14688266813755035,34.38,2.56
94,3.13,3,truck,325,215,365,252,-0.35122454166412354,-0.02586408518254757,-0.05828595906496048,0.0096761928871274,34.38,2.78
95,3.17,3,truck,323,215,365,252,-0.6424033641815186,-0.012253597378730774,-0.10409052670001984,-0.042499955743551254,32.74,2.79
96,3.2,3,truck,323,215,364,251,-0.4115181863307953,-0.0037595690228044987,-0.08998013287782669,-0.048777468502521515,33.54,2.63
97,3.23,3,truck,324,215,364,251,-0.060732174664735794,0.00039783172542229295,-0.2053564041852951,-0.03670419752597809,34.38,4.06
98,3.27,3,truck,326,216,363,251,0.3769952654838562,0.1486549973487854,-0.18651694059371948,-0.021582866087555885,37.16,5.23
99,3.3,3,truck,326,216,363,251,0.27676457166671753,0.011415447108447552,-0.1249513253569603,-0.009807629510760307,37.16,6.05
100,3.33,3,truck,326,216,363,251,0.15942460298538208,-0.04128175601363182,-0.0661110058426857,-0.0026918374933302402,37.16,5.99
101,3.37,3,truck,326,215,363,251,0.07040435075759888,-0.048103950917720795,-0.025536419823765755,0.0006565072108060122,37.16,5.31
102,3.4,3,truck,326,215,363,251,0.16459278762340546,-0.03642284497618675,-0.0034427237696945667,0.0016672859201207757,37.16,4.85
103,3.43,3,truck,326,215,363,252,0.0032312602270394564,-0.021523382514715195,0.005513089708983898,0.0015417790273204446,37.16,4.78
104,3.47,3,truck,326,215,363,252,-0.05573905259370804,-0.009842276573181152,-0.13977010548114777,0.0010442337952554226,37.16,4.91
105,3.5,3,truck,325,215,362,252,-0.06057106703519821,-0.0027511368971318007,-0.15094918012619019,0.0005601357552222908,37.16,5.05
106,3.53,3,truck,327,215,362,252,0.24924270808696747,0.0006061726016923785,-0.2575090229511261,0.00021947418281342834,39.29,5.38
107,3.57,3,truck,326,215,362,252,-0.006334156729280949,0.0016348809003829956,-0.07330075651407242,3.345503137097694e-05,38.19,5.03
108,3.6,3,truck,326,216,362,252,-0.09636294096708298,0.0015250623691827059,0.014464423060417175,-4.274558523320593e-05,38.19,4.36
109,3.63,3,truck,325,216,362,251,-0.24730291962623596,0.0010364819318056107,0.04177113622426987,-5.6192751799244434e-05,37.16,3.94
110,3.67,3,truck,324,216,363,251,-0.22892512381076813,0.0005568662891164422,0.039314787834882736,-4.274558523320593e-05,35.26,4.16
111,3.7,3,truck,323,215,362,251,-0.44883114099502563,-0.14665600657463074,-0.11999380588531494,-2.4816028599161655e-05,35.26,4.67
112,3.73,3,truck,324,215,362,251,0.04458129405975342,-0.009629369713366032,0.004854179453104734,-9.127666999120265e-06,36.18,5.3
113,3.77,3,truck,325,215,362,251,0.20889222621917725,0.04246719926595688,0.04831990599632263,2.0783058971574064e-06,37.16,5.88
114,3.8,3,truck,325,216,363,251,0.05972728133201599,0.04872461408376694,0.049758754670619965,6.560695055668475e-06,36.18,5.83
115,3.83,3,truck,325,216,363,252,0.13543035089969635,0.0366625040769577,0.035661641508340836,8.80188963492401e-06,36.18,6.0
116,3.87,3,truck,326,216,363,252,0.12286621332168579,0.0215546116232872,0.020112233236432076,4.319500476412941e-06,37.16,6.17
117,3.9,3,truck,325,216,363,252,-0.064623162150383,0.009788339957594872,0.008614905178546906,2.0783058971574064e-06,36.18,6.33
118,3.93,3,truck,328,216,362,252,0.4744648039340973,0.0026837531477212906,-0.1449248492717743,2.0783058971574064e-06,40.44,7.29
119,3.97,3,truck,327,216,361,252,0.23516349494457245,-0.0006601091590709984,-0.1575562208890915,2.0783058971574064e-06,40.44,7.83
120,4.0,3,truck,327,216,362,252,0.08003696799278259,-0.0016686466988176107,0.031067198142409325,2.0783058971574064e-06,39.29,8.66
121,4.03,3,truck,330,215,362,252,0.588259220123291,-0.0015431398060172796,-0.057114843279123306,2.0783058971574064e-06,42.97,9.15
122,4.07,3,truck,330,215,361,252,0.4513087868690491,-0.0010455945739522576,-0.07204119861125946,2.0783058971574064e-06,44.35,7.67
123,4.1,3,truck,330,216,361,252,0.26949411630630493,0.14632190763950348,-0.05624077841639519,2.0783058971574064e-06,44.35,7.82
124,4.13,3,truck,331,217,361,252,0.2718339264392853,0.15632660686969757,-0.03403950482606888,2.0783058971574064e-06,45.83,8.71
125,4.17,3,truck,331,217,361,252,0.19282732903957367,0.11400164663791656,-0.016060641035437584,2.0783058971574064e-06,45.83,8.39
