frame,second,id,label,bbox,distance_m,speed_kmh
1,0.04,0,car,"825,403,972,503",18.71,80.0
1,0.04,1,car,"952,403,1081,484",21.32,80.0
2,0.08,0,car,"824,403,972,504",18.58,80.52
2,0.08,1,car,"953,402,1081,484",21.48,80.27
3,0.12,0,car,"822,404,975,504",17.97,82.5
3,0.12,1,car,"953,401,1083,484",21.15,82.39
4,0.16,0,car,"819,404,973,505",17.86,83.96
4,0.16,1,car,"944,401,1089,485",18.97,83.49
5,0.2,0,car,"774,408,795,423",130.95,110.89
5,0.2,0,car,"767,409,795,423",98.21,138.61
5,0.2,1,car,"943,401,1089,485",18.84,83.34
6,0.24,0,car,"773,409,796,423",119.57,140.63
6,0.24,1,car,"954,402,1091,485",20.07,84.45
6,0.24,2,car,"824,405,976,503",18.09,82.49
7,0.28,0,car,"776,407,797,425",130.95,145.35
7,0.28,1,car,"961,400,1094,484",20.68,86.05
7,0.28,2,car,"821,405,974,504",17.97,82.88
8,0.32,0,car,"777,408,797,426",137.5,148.32
8,0.32,1,car,"959,400,1096,484",20.07,85.59
8,0.32,2,car,"816,405,975,504",17.3,82.27
9,0.36,0,car,"777,409,798,426",130.95,122.74
9,0.36,1,car,"960,400,1097,484",20.07,84.7
9,0.36,2,car,"823,403,971,501",18.58,82.27
10,0.4,1,car,"958,402,1099,486",19.5,84.65
10,0.4,2,car,"825,404,969,501",19.1,82.45
11,0.44,1,car,"958,403,1097,486",19.78,84.08
11,0.44,2,car,"820,405,968,502",18.58,82.45
12,0.48,1,car,"957,402,1099,485",19.37,82.87
12,0.48,2,car,"818,403,967,501",18.46,82.4
13,0.52,1,car,"957,403,1099,486",19.37,82.25
13,0.52,2,car,"820,403,968,502",18.58,82.33
14,0.56,1,car,"960,402,1100,486",19.64,82.04
14,0.56,2,car,"824,402,965,499",19.5,82.14
15,0.6,1,car,"962,401,1098,485",20.22,81.63
15,0.6,2,car,"825,402,967,499",19.37,81.64
16,0.64,1,car,"962,404,1100,486",19.93,84.54
16,0.64,2,car,"821,402,965,499",19.1,84.14
17,0.68,1,car,"962,404,1104,487",19.37,84.57
17,0.68,2,car,"821,402,968,498",18.71,83.89
18,0.72,1,car,"959,404,1102,488",19.23,84.86
18,0.72,2,car,"814,406,971,501",17.52,84.0
19,0.76,1,car,"960,405,1106,489",18.84,85.44
19,0.76,2,car,"817,405,966,499",18.46,84.55
20,0.8,1,car,"960,406,1106,491",18.84,85.74
